epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.078,1.76916,3.44463,1.52792,0.01017,0.69935,0.15314,0.08392,1.6243,3.23384,1.32833,3.334e-05,3.334e-05,3.334e-05
2,43.7807,1.52704,3.29557,1.41554,0.01325,0.94118,0.3446,0.20192,1.21909,3.08563,1.11957,8.16997e-05,8.16997e-05,8.16997e-05
3,70.0602,1.36643,2.96537,1.32568,0.01368,0.97059,0.43375,0.28593,1.04396,3.00003,1.00745,0.000128079,0.000128079,0.000128079
4,100.917,1.35655,2.67252,1.23609,0.01389,0.98529,0.46295,0.25596,0.99045,2.88802,1.0202,0.000172478,0.000172478,0.000172478
5,130.335,1.3605,2.1396,1.21257,0.55399,0.37457,0.55527,0.35783,1.08684,2.6082,1.00348,0.000214896,0.000214896,0.000214896
6,160.239,1.38012,1.92907,1.19699,0.81979,0.23529,0.56637,0.37304,1.07341,2.43542,1.00568,0.000255334,0.000255334,0.000255334
7,189.895,1.27518,1.85205,1.17852,0.51372,0.2669,0.5461,0.35761,1.09694,2.37311,1.00394,0.000293792,0.000293792,0.000293792
8,221.524,1.22482,1.76069,1.10549,0.55465,0.20377,0.51447,0.34195,1.09273,2.43705,1.00386,0.000330269,0.000330269,0.000330269
9,252.355,1.19543,1.66122,1.11959,0.39881,0.87484,0.55973,0.329,1.16061,2.52286,1.00077,0.000364766,0.000364766,0.000364766
10,282.271,1.33703,1.73635,1.22963,0.01506,1,0.56058,0.33098,1.1427,2.50953,0.99287,0.000397283,0.000397283,0.000397283
11,311.999,1.2245,1.66799,1.13258,0.50085,0.77646,0.63524,0.39244,1.12258,2.41762,0.9768,0.000427819,0.000427819,0.000427819
12,341.436,1.23518,1.61898,1.12218,0.51999,0.81373,0.66656,0.40985,1.10146,2.39213,0.98733,0.000456375,0.000456375,0.000456375
13,370.204,1.15515,1.51322,1.10258,0.48881,0.30337,0.63003,0.39224,1.16684,2.29373,1.02309,0.00048295,0.00048295,0.00048295
